log_text,label,prediction,inference_time_ms,correct
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=63543 double-hummer alignment exceptions,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=162 double-hummer alignment exceptions,0,0,330.98943737502395,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=141 double-hummer alignment exceptions,0,1,330.98943737502395,0
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 2, at 0x0b85eee0, mask 0x05",0,0,330.98943737502395,1
TYPE=RAS COMPONENT=APP LEVEL=FATAL CONTENT=ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,1,0,332.84345549998307,0
TYPE=RAS COMPONENT=APP LEVEL=FATAL CONTENT=ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,1,0,332.84345549998307,0
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 20, at 0x1438f9e0, mask 0x40",0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2275,0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.862,0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.728,0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.775,0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3276,0,0,332.84345549998307,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1717,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3919,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2079,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1414,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3055,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.201,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1125,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.412,0,0,325.8662203750191,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.7828,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.5570,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.8275,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4183,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6545,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4245,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6884,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=FATAL CONTENT=force load/store alignment...............0,0,0,327.05688487499174,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6471,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4155,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.449,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6990,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4876,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2218,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.7518,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.5854,0,0,326.0753118750017,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.7457,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6896,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3488,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1172,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2286,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.786,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2680,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1524,0,0,325.79470362497887,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4937,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.6801,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.4368,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.851,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1744,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1588,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.5307,0,0,327.5647608750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.7192,0,0,327.5647608750205,1
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 20, at 0x01228120, mask 0x10",0,0,331.86978812500456,1
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 5, at 0x11042a80, mask 0x04",0,0,331.86978812500456,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,331.86978812500456,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,331.86978812500456,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,331.86978812500456,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,331.86978812500456,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,331.86978812500456,1
