log_text,label,prediction,inference_time_ms,correct
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,334.1119178750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,334.1119178750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,334.1119178750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=instruction cache parity error corrected,0,0,334.1119178750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=63543 double-hummer alignment exceptions,0,0,334.1119178750205,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=162 double-hummer alignment exceptions,0,1,334.1119178750205,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=141 double-hummer alignment exceptions,0,1,334.1119178750205,0
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 2, at 0x0b85eee0, mask 0x05",0,0,334.1119178750205,1
TYPE=RAS COMPONENT=APP LEVEL=FATAL CONTENT=ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,1,0,286.4043603750588,0
TYPE=RAS COMPONENT=APP LEVEL=FATAL CONTENT=ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,1,0,286.4043603750588,0
"TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=CE sym 20, at 0x1438f9e0, mask 0x40",0,0,286.4043603750588,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2275,0,0,286.4043603750588,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.862,0,1,286.4043603750588,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.728,0,0,286.4043603750588,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.775,0,0,286.4043603750588,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3276,0,1,286.4043603750588,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1717,0,1,271.4498112500223,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3919,0,1,271.4498112500223,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.2079,0,0,271.4498112500223,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1414,0,1,271.4498112500223,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.3055,0,0,271.4498112500223,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.201,0,0,271.4498112500223,1
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.1125,0,1,271.4498112500223,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.412,0,1,271.4498112500223,0
TYPE=RAS COMPONENT=KERNEL LEVEL=INFO CONTENT=generating core.7828,0,0,270.42431587494775,1
